"","reg","name","slope1","peak","cum","pop_density_km","pop_white_perc","unemploy_perc","address_garden_perc","green_km_pp","urban_km_pp","frag","ln","lt","meantempperiod","meanrainperiod","r2","meantempperiod2","meanrainperiod2","av_garden_m","meantempperiod_total","meanrainperiod_total","pval","slope2","meanrelpark1","meanrelmob1","meanrelnotpark1","meanrelpark2","meanrelmob2","meanrelnotpark2","parkpref1","parkpref2","ihsslope1","ihsslope2","meanrelparktotal","meanrelmobtotal","meanrelnotparktotal","parkpreftotal"
"1","South East","Aylesbury Vale",0.04022694,18,390,2.13e-05,88.02083333,2.7,88,4.41e-05,0.001329559,5.32125,-0.87746,51.90037918,7.47619047619048,0.26047619047619,0.515000035926683,10.6857142857143,0.635238095238095,418.7,9.61587301587302,0.51031746031746,0.00265287401156179,-0.015887,-2.4139748076919,-23.2415331823205,-27.4070448572462,16.8278648660913,-22.0321324238747,-29.8041318818679,24.9930700495543,46.6319967479591,2.10020200591602,-1.24297909037572,10.1084922815956,-22.454462847459,-28.9670538732699,39.0755461548654
"2","London","Barking and Dagenham",0.065910673,22,491,0.000580185,36.36363636,5.7,85,0.006089586,0.000814124,3.12125,0.12950601,51.54552078,7.29130434782609,0.860869565217391,0.658203878657443,10.2755102040816,0.552448979591837,171,9.32222222222222,0.650972222222222,2.90334112337789e-05,-0.02709,1.43639681075619,-9.71722662812268,-11.9479513158985,0.149117223587349,-24.3451751386259,-29.2440336110686,13.3843481266547,29.3931508346559,2.58456820034642,-1.72217310745263,0.542452653000052,-19.875524204861,-23.9591195764332,24.5015722294333
"3","London","Barnet",0.085191961,65,1272,0.000442731,49.35064935,4.5,80,0.00187568,0.000587653,4.3675,-0.21821,51.61108017,7.1,0.903333333333333,0.782797895991177,9.87959183673469,0.58469387755102,303.7,8.96575342465753,0.689452054794521,3.02811291489071e-08,-0.030621,17.461746013338,-15.1537404427365,-21.6768377339514,18.2432499682685,-31.4947714095367,-41.4423756850978,39.1385837472894,59.6856256533663,2.83889613085569,-1.83790339749133,17.9863171611681,-26.1223776670271,-34.9441166326661,52.9304337938342
"4","North West","Barrow-in-Furness",0.064319465,53,540,8.68e-05,95.52238806,4.7,94,0.000234819,0.000464455,3.784375,-3.19975996,54.15737152,6.93333333333333,0.56,0.544943466184749,10.6032258064516,0.737096774193548,327.1,9.12115384615385,0.665576923076923,0.000500290467681787,-0.031525,-13.3515228409522,-22.0229610980251,-23.7572487494397,-8.3984741203536,-32.6790182743363,-37.5351271051329,10.4057259084875,29.1366529847793,2.56041337705808,-1.86559889490257,-10.3987437959799,-28.3756105685183,-31.970983923026,21.5722401270461
"5","South East","Basingstoke and Deane",0.052619512,33,677,2.78e-05,83.52272727,2.8,92,9.19e-05,0.002433412,5.695625,-1.22020996,51.2593689,6.75555555555556,0.451111111111111,0.50816810765838,10.9254901960784,0.536470588235294,424.1,9.83768115942029,0.514202898550725,0.0181178921805322,-0.01863,-25.9234414343377,-22.2230652639815,-21.4829900299102,-5.07655655946824,-24.5451478248877,-28.4388660779716,-4.44045140442745,23.3623095185034,2.36255833782575,-1.38063319331189,-10.5148743529124,-23.9393871568252,-26.6242897176078,16.1094153646953
"6","London","Bexley",0.042798676,40,704,0.000403879,74.28571429,4.2,89,0.00154988,0.00058512,4.36375,0.146212,51.45820999,7.22592592592593,0.733333333333333,0.647957858794859,10.7021739130435,0.588478260869565,240.2,9.41643835616438,0.642054794520548,2.59867256447904e-05,-0.026066,-11.0621779171894,-21.584033332533,-23.6884044156017,-2.11572602742596,-29.5066783101491,-34.9848687666937,12.6262264984124,32.8691427392677,2.16044634687185,-1.6861097898704,-5.42468768528366,-26.5763849622637,-30.8067244176597,25.382036732376
"7","West Midlands","Birmingham",0.06126077,132,3356,0.000421803,51.5070922,8.2,86,0.003382544,0.000502401,3.77625,-1.88141,52.48403931,7.47272727272727,0.935454545454545,0.856154995798644,11.5765995989214,0.24074696039609,229.1,10.777615606211,0.375999764566763,1.29846698214824e-05,-0.016003,31.1980557689771,-9.66965031974858,-17.8431915374937,61.1738489639307,-16.231608532247,-31.7127000314825,49.0412473064708,92.8865489954133,2.51229770957655,-1.24914231686857,55.07258132248,-14.8959887190836,-28.8897027273963,83.9622840498763
"8","North West","Blackburn with Darwen",0.128065361,17,393,0.000107859,66.21621622,5.5,95,0.00012515,0.000935161,3.555,-2.46359992,53.70080185,6.46428571428571,0.135714285714286,0.649019979792657,10.4644444444444,0.600666666666667,172.6,9.51525423728814,0.490338983050847,2.39124405547412e-06,-0.017312,-21.0389429225611,-31.7442568400022,-33.8853196234904,7.75527479169951,-30.4218053975328,-38.0572214353793,12.8463767009293,45.8124962270788,3.24462370216464,-1.31653241476273,0.922748554417328,-30.7356074347289,-37.0672786325582,37.9900271869755
"9","North West","Blackpool",0.070173844,22,660,0.000401913,95,5.6,91,0.003135355,0.000700884,3.450625,-3.02284002,53.8216095,8.00952380952381,0.109047619047619,0.528990571308896,11.9414613450999,0.517051976890983,150,10.8962627596936,0.408595122274393,5.07837061815067e-05,-0.014771,-27.1674974126059,-34.6102755671333,-36.0988311980388,17.8031398819133,-24.4886104513068,-32.9469605179508,8.93133378543288,50.7501003998641,2.64657629948096,-1.1819930851272,5.84891984159809,-27.1791796593113,-33.7847995594932,39.6337194010913
"10","North West","Bolton",0.075804095,45,1025,0.000202207,77.11267606,5.8,91,0.00039104,0.000566108,5.3775,-2.47952008,53.58449173,7.94,0.486666666666667,0.686543920843609,11.6792590108102,0.430425877193147,185,10.3277196093126,0.450753873388395,2.75008843331039e-10,-0.030097,-9.26541511787757,-30.4711299659509,-34.7122729355655,23.6515373476101,-28.0087192069816,-38.3407705179,25.446857817688,61.9923078655101,2.72303693688866,-1.82150941364349,11.7538436853856,-28.8987471921512,-37.0292653676586,48.7831090530443
"11","Yorkshire and The Humber","Bradford",0.121284684,50,1444,0.000144847,68.79699248,6.4,87,0.000178287,0.000818519,3.93875,-1.87389004,53.84381866,6.80714285714286,0.407142857142857,0.732186221242125,11.949768137189,0.169901277105531,212.4,11.250770526309,0.202147705460119,3.15402710691764e-07,-0.0099793,-0.662799375707496,-27.4208243916282,-32.7724293948123,36.747936463001,-29.3058237905868,-42.5165758413043,32.1096300191048,79.2645123043053,3.19039784085913,-0.879909118250901,31.6629820771571,-29.0496102800487,-41.1921287514899,72.855110828647
"12","London","Brent",0.042863407,58,1420,0.000751801,15.95092025,4.7,82,0.005072881,0.000899983,3.58,-0.27568001,51.56441116,7.124,0.8764,0.75569105307106,10.5560975609756,0.654390243902439,235.9,9.25606060606061,0.738484848484849,0.00428284812824023,-0.025806,3.99883566420011,-20.505943850284,-25.4068997531808,12.6678191685712,-32.1566782690877,-41.1215777566195,29.4057354173809,53.7893969251906,2.16191807717803,-1.67675622503006,9.38411329570333,-27.7435212922681,-35.1690482098624,44.5531615055657
"13","South West","Bristol, City of",0.041316296,28,671,0.000415726,78.11816193,3.9,84,0.00171522,0.000631467,4.46125,-2.57742,51.47114944,7.725,0.4575,0.601813409420632,10.903125,0.82625,180.8,9.42,0.654166666666667,0.000192014739296231,-0.026159,3.10714285714286,-27.5654761904762,-33.7,13.34375,-36.984375,-47.05,36.8071428571428,60.39375,2.1261527100441,-1.68943575764329,8.56666666666667,-32.5888888888889,-40.82,49.3866666666667
"14","London","Bromley",0.05267362,49,1266,0.000218385,73.70030581,3,85,0.00059719,0.000408645,5.266875,0.039246,51.37266922,7.47272727272727,0.935454545454545,0.742304853927687,10.1807692307692,0.545961538461538,331.1,9.37567567567567,0.661756756756757,8.97766035249185e-05,-0.014942,33.7258032893921,-11.022331411299,-19.9719583514372,8.53665710699463,-31.4600052670367,-39.459337741843,53.6977616408294,47.9959948488376,2.36356804382805,-1.19154164398645,16.0253221882479,-25.3839400666823,-33.6657925176683,49.6911147059162
"15","North West","Bury",0.043467518,31,768,0.000188166,85.10638298,4.4,93,0.000332317,0.000505721,5.67375,-2.30879998,53.5931015,7.55416666666667,0.354583333333333,0.551141458527662,11.7567930737357,0.387859582134272,190.4,10.496005151615,0.37787670749399,0.00127896299713433,-0.014583,3.25148687388016,-24.2648268848394,-29.7680896365833,33.6332347361905,-21.127936147065,-32.0801703237161,33.0195765104634,65.7134050599066,2.17555242481739,-1.17140739281353,24.5187103774974,-22.0690033683973,-31.3865461175763,55.9052564950737
"16","London","Camden",0.031359939,29,577,0.001163615,46.77419355,4.5,61,0.009629581,0.001346757,2.638125,-0.16289,51.5430603,6.95862068965517,0.772413793103448,0.729750670184105,10.7814814814815,0.642962962962963,160.9,8.80178571428571,0.71,0.00057745286762441,-0.026604,-2.91766337421686,-26.4761813796561,-31.187884980744,-6.23853629064557,-41.7383082694972,-48.8382626652675,28.2702216065271,42.5997263746219,1.86059618493357,-1.70520879289142,-4.51879853035213,-33.8347068444009,-39.6978885072106,35.1790899768585
"17","North West","Cheshire East",0.055242796,39,1355,3.23e-05,93.65079365,3,91,4.63e-05,0.000435776,6.3425,-2.29298997,53.1679306,7.82903225806452,0.638064516129032,0.647083644489392,12.2202639003781,0.631150253997656,408.3,10.9938838921644,0.633081264142455,3.28128803296423e-08,-0.015588,-11.2903225806452,-23.010752688172,-25.3548387096774,18.8108765431642,-26.9025762051545,-36.0452667548183,14.0645161290323,54.8561432979824,2.41039313825771,-1.22694318245706,10.4042353464246,-25.8156705382495,-33.0596517151843,43.463887061609
"18","North West","Cheshire West and Chester",0.073519799,40,1229,3.67e-05,93.45238095,3.4,92,5.7e-05,0.000348958,6.80875,-2.70298004,53.1633606,7.04545454545454,0.442272727272727,0.75917805744296,12.051622956017,0.627889660194902,388.8,10.9502659056932,0.587053934952024,7.49839430698555e-09,-0.013376,-18.5454545454545,-27.2575757575758,-29,9.56410256410256,-30.1175213675214,-38.0538461538462,10.4545454545455,47.6179487179487,2.69271027794518,-1.10116966979975,3.38,-29.4883333333333,-36.062,39.442
"19","North East","County Durham",0.080301264,86,2022,2.33e-05,97.31285988,5.4,94,2.96e-05,0.000334258,4.993125,-1.8405,54.68513107,7.50416666666667,0.421666666666667,0.80709297851783,11.8271006197417,0.513813188520813,215.7,10.546231300312,0.486510515378844,3.91113047072689e-08,-0.017735,-8.75,-22.7847222222222,-25.5916666666667,18.2280701754386,-25.0321637426901,-33.6842105263158,16.8416666666667,51.9122807017544,2.78020209007017,-1.33749834983719,10.2345679012346,-24.3662551440329,-31.2864197530864,41.520987654321
"20","West Midlands","Coventry",0.064504527,29,793,0.000359109,64.02266289,4.6,85,0.001661006,0.000534359,4.820625,-1.51908004,52.41423035,6.75555555555556,0.451111111111111,0.590562312001906,10.824,0.5472,186.4,9.74705882352941,0.521764705882353,0.000510384493270912,-0.021378,-24.4986342179588,-25.1169970618209,-25.2406696305933,3.55278952077553,-28.95836107831,-35.4605911981271,0.742035412634461,39.0133807189026,2.56325246608149,-1.50361612394856,-3.87258735124239,-27.9415294268864,-32.7553178420152,28.8827304907728
"21","London","Croydon",0.059710028,80,1498,0.000441559,48.17708333,5.3,83,0.001109897,0.000796211,5.38125,-0.07761,51.36597824,7.17826086956522,0.84304347826087,0.748025433195636,10.8528301886792,0.517735849056604,257.9,9.74078947368421,0.616184210526316,7.46761372109833e-05,-0.02918,20.2725252384638,-12.6564724233943,-19.2422719557659,19.8392144375473,-23.4624335159478,-32.1227631066468,39.5147971942297,51.9619775441941,2.4870014994946,-1.79219181323827,19.9703479694036,-20.1922084484645,-28.2247197320381,48.1950677014417
"22","South East","Dartford",0.045822014,26,444,0.000145434,84.90566038,2.5,90,0.000534757,0.000344497,5.74125,0.245276,51.43373108,7.42727272727273,0.278181818181818,0.505951841810784,10.8028571428571,0.757142857142857,255.2,9.5,0.572280701754386,0.00437758362072055,-0.03265,-2.46257845678235,-28.1652646643071,-33.3058019058121,8.72810114071217,-27.7186871746345,-35.0080448377038,30.8432234490298,43.736145978416,2.22702622723767,-1.89907414851515,4.40889147150376,-27.8910504162625,-34.3510387938158,38.7599302653196
"23","East Midlands","Derby",0.107970416,30,586,0.000325217,77.734375,4.3,90,0.001152843,0.000610535,5.24625,-1.47188997,52.91463852,7.43571428571429,0.911428571428571,0.582790369416104,10.5171875,0.45515625,216.3,9.96410256410256,0.537051282051282,6.74132949062778e-05,-0.012681,-4.5,-6.79761904761905,-7.25714285714286,13.4524929458716,-32.8513091372492,-42.1120695538734,2.75714285714286,55.564562499745,3.07455700724066,-1.05885027653478,10.2302506222536,-28.1750057878284,-35.8560570698448,46.0863076920985
"24","West Midlands","Dudley",0.084166548,35,856,0.00032688,87.42138365,5,93,0.001961035,0.000400288,4.013125,-2.10171008,52.49512863,7.49473684210526,0.933157894736842,0.65273211560056,9.93137254901961,0.562549019607843,238.2,9.27,0.663142857142857,1.17448928606766e-05,-0.015475,1.02775141680298,-15.8342208127854,-19.206615258703,-0.204818634607832,-29.1756231364359,-34.9697840368015,20.234366675506,34.7649654021937,2.82687017704166,-1.22082591885603,0.129736093632246,-25.5543853628736,-30.6912096541748,30.820945747807
"25","Yorkshire and The Humber","East Riding of Yorkshire",0.022726,34,908,1.4e-05,95.85798817,3.5,92,7.32e-05,0.000780419,3.97625,-0.66202998,53.88122177,8.978125,0.2121875,0.636460922684539,12.0900937292046,0.428190601499927,400.5,10.7259430533889,0.333504310431466,0.000131430613300276,-0.017049,-21.53125,-32.7135416666667,-34.95,20.1951219512195,-20.8780487804878,-29.0926829268293,13.41875,49.2878048780488,1.55929838535449,-1.3033021685674,1.9041095890411,-26.0662100456621,-31.6602739726027,33.5643835616438
"26","London","Enfield",0.075562715,35,855,0.000401855,39.87915408,6,84,0.001454875,0.000661,4.98,-0.08147,51.64888,7.405,1.011,0.682525898403008,9.73170731707317,0.598536585365854,194.5,8.96885245901639,0.733770491803279,7.8624642455998e-05,-0.017294,20.4045315074852,-5.70298794748454,-10.9244918384785,14.5280253316654,-23.7260749293617,-31.3768949815672,31.3290233459637,45.9049203132325,2.71987507648893,-1.31563173198373,16.4547486679997,-17.8168660828446,-24.6711890330135,41.1259377010132
"27","North East","Gateshead",0.092847607,44,991,0.000143653,95.07389163,5.6,91,0.000334769,0.000684227,6.37625,-1.6868,54.93119812,7.36666666666667,0.127222222222222,0.596693453717471,10.8,0.606363636363636,184.8,9.80322580645161,0.467258064516129,0.000782972290149746,-0.030012,-14.688158158158,-29.005238773052,-31.8686548960308,15.5619416005367,-23.2948508125396,-31.0662092951549,17.1804967378728,46.6281508956916,2.92440907180878,-1.81882586426157,6.77965457381888,-24.9527053817206,-31.2991773728285,38.0788319466474
"28","South East","Gravesham",0.096114172,18,259,0.000106064,72.38095238,4.6,92,0.000190526,0.000958875,5.720625,0.39874399,51.39649963,6.51875,0.135,0.506880732632034,10.725641025641,0.68948717948718,290.1,9.50181818181818,0.528181818181818,0.00051764779396452,-0.02694,-9.37162671846414,-29.3769051259174,-33.377960807408,7.31742047606433,-28.3722014583235,-35.5101258452011,24.0063340889439,42.8275463212654,2.95879417689238,-1.71696592647504,2.46242492856514,-28.6644788888963,-34.8898596523885,37.3522845809537
"29","London","Greenwich",0.031760409,36,676,0.00059073,51.25448029,4.8,80,0.003210271,0.000814575,3.858125,0.050108,51.46395874,7.42142857142857,0.706071428571429,0.608573595355294,10.8444444444444,0.736388888888889,166.7,9.346875,0.723125,0.00217105839551308,-0.038401,65.3961342902693,-7.07447187358496,-21.5685931063558,60.4194339674794,-17.2429950606572,-32.7754808662846,86.9647273966251,93.1949148337639,1.87269270495832,-2.05518334550411,62.5967403587,-12.7942661663131,-27.8724674713157,90.4692078300157
"30","London","Hackney",0.055093739,38,615,0.001422247,37.72893773,4.9,69,0.012875386,0.001648982,3.038125,-0.06045,51.5549202,7.04642857142857,0.7825,0.583307852980418,10.6032258064516,0.737096774193548,116.3,8.91525423728813,0.75864406779661,0.000145835777483806,-0.044437,3.01911202376592,-23.3187235922694,-28.5862907154765,7.37072815502664,-36.1948504632273,-44.9079661868781,31.6054027392424,52.2786943419047,2.40773459775921,-2.19706114967422,5.30555439781816,-30.0841461854846,-37.1620863021451,42.4676406999633
"31","London","Haringey",0.034424575,29,565,0.000907196,36.02941176,4.1,84,0.010133435,0.00110477,3.251875,-0.10667,51.58771133,7.15925925925926,0.811111111111111,0.678075735255268,10.628125,0.7140625,132.5,9.0406779661017,0.758474576271186,0.000939182017988714,-0.034702,20.5814402441904,-14.3967082174885,-21.3923379098243,21.4964345141923,-28.2610356828061,-38.2125297222058,41.9737781540147,59.7089642363981,1.94979100998542,-1.95750139739228,21.0777083228355,-21.916343452915,-30.5151538080651,51.5928621309006
"32","London","Harrow",0.071960274,40,994,0.000493271,28.1124498,4.3,85,0.002323598,0.000629272,4.105625,-0.33603001,51.59466934,7.565,0.907,0.682779778638205,9.94878048780488,0.59780487804878,269.2,9.1672131147541,0.699180327868852,8.75439808640312e-08,-0.020283,-23.4646747049946,-20.4701615036318,-19.8712588633592,-27.1171534895527,-36.2343970480401,-38.0578457597375,-3.59341584163537,10.9406922701848,2.67146956934969,-1.45622045631676,-25.9196194618288,-31.0657952302013,-32.0950303838758,6.17541092204704
"33","London","Havering",0.064595869,33,663,0.000224777,79.84189723,4.6,90,0.000610663,0.000529557,5.74875,0.235368,51.56518936,7.16153846153846,0.745769230769231,0.719788660360337,10.6833333333333,0.761666666666667,249.1,9.04821428571429,0.754285714285714,2.9262670762094e-06,-0.034155,-27.3791100166452,-22.8840384926651,-21.9850241878691,-24.1029429856328,-34.1851513756549,-36.2015930536593,-5.39408582877611,12.0986500680265,2.56465083931598,-1.94224370471187,-25.6240205357457,-28.9382061085525,-29.6010432231138,3.97702268736814
"34","London","Hillingdon",0.085632596,44,745,0.000257848,45.81939799,4,88,0.000873912,0.000431129,5.35875,-0.44182,51.53662872,7.565,0.907,0.700653947297071,9.88205128205128,0.628461538461538,236.7,9.09661016949152,0.722881355932203,2.03580518637076e-06,-0.025546,6.49201505785329,-14.4219996905167,-18.6048026401906,10.5459995247985,-30.6863254400073,-38.9327904329685,25.0968176980439,49.478789957767,2.84402006189943,-1.66732036395277,9.17176750210522,-25.1729946774681,-32.0419471133828,41.213714615488
"35","London","Hounslow",0.043759395,33,707,0.000475805,33.58208955,5,81,0.001933676,0.000654826,4.5325,-0.37843999,51.46242905,7.12,0.7756,0.509447377832709,10.8842105263158,0.706052631578947,170,9.39047619047619,0.733650793650794,0.00198734883361999,-0.03244,41.8255944597233,-12.4331195318891,-23.2848623302116,42.2915275046595,-25.2693882238991,-38.7815713696108,65.1104567899349,81.0730988742703,2.18207553587664,-1.89290613081906,42.1066334392086,-20.1756308064348,-32.6320836555635,74.7387170947721
"36","London","Kingston upon Thames",0.038879294,21,496,0.00046125,62.20930233,3.2,87,0.001580028,0.000682549,4.579375,-0.28367001,51.39295959,7.128,0.578,0.598026901864058,10.725641025641,0.68948717948718,244.5,9.3203125,0.6459375,0.00100671064228848,-0.02076,-28.1385872572239,-28.1973611811967,-28.2091159659913,-7.20892400998634,-32.6797333269207,-37.7738951903076,0.0705287087673661,30.5649711803212,2.06716683896494,-1.47711610111116,-15.3845737159385,-30.9288067074973,-34.037653305809,18.6530795898705
"37","Yorkshire and The Humber","Kirklees",0.063359635,29,776,0.000106426,75.86206897,4.1,88,0.000138704,0.000699536,5.810625,-1.78085005,53.64233017,6.84210526315789,0.512105263157895,0.698616008670719,11.8488583731675,0.573718424147715,248.8,10.767854860779,0.560415582570367,4.83976582545022e-05,-0.014462,32.1238755631631,-12.2381895179694,-21.1106025341959,49.2758065201908,-16.4164135665542,-29.5548575839032,53.2344780973589,78.830664104094,2.54555920702337,-1.16454502816497,45.5725486999235,-15.5142970106097,-27.7316661527164,73.3042148526398
"38","North West","Knowsley",0.136396807,32,613,0.000169085,95.27027027,3.8,93,0.000666312,0.000404099,5.68625,-2.8329699,53.43788147,6.6,0.362857142857143,0.604518355695022,10.6625,0.67075,192.4,9.60925925925926,0.590925925925926,0.000217764178203808,-0.021802,-18.4961456255112,-24.284727285849,-25.4424436179166,-16.3043288754478,-31.932789878646,-35.0584820792857,6.94629799240542,18.7541532038378,3.30747151361796,-1.52143650344292,-16.8725776625013,-29.949958836069,-32.5654350707826,15.6928574082813
"39","London","Lambeth",0.08287514,53,1185,0.001214954,47.9876161,5.3,75,0.010889123,0.001372946,3.339375,-0.11385,51.46442032,7.4,0.963809523809524,0.657702127444134,10.045652173913,0.620869565217391,132.3,9.21641791044776,0.728358208955224,2.786342076793e-05,-0.033227,10.4935851276878,-13.2250529560359,-17.9687805727807,9.7604621952479,-29.3422141186558,-37.1627493814365,28.4623657004685,46.9232115766844,2.81151742791536,-1.91583652682967,9.99024699496788,-24.2905665900734,-31.1467293070817,41.1369763020496
"40","North West","Lancaster",0.081460552,41,780,2.47e-05,90.14084507,4.5,87,2.64e-05,0.001051992,2.935,-2.66030002,54.07901001,6.86470588235294,0.477647058823529,0.582591785678263,10.4619047619048,0.640238095238095,260.8,9.42542372881356,0.593389830508475,0.000252243665114541,-0.02691,9.02646441961843,-20.8670244877001,-26.8457222691639,19.275490425073,-28.9433546402674,-38.5871236533355,35.8721866887823,57.8626140784086,2.79442728332785,-1.71592143237068,16.3223812370607,-26.6162764607141,-35.2040080002691,51.5263892373298
"41","Yorkshire and The Humber","Leeds",0.038667629,72,1883,0.000141448,81.53846154,4.3,85,0.000469185,0.000372868,5.5575,-1.50735998,53.82273102,7.79615384615385,0.389230769230769,0.849852543946826,11.9779943884355,0.677865061731357,228.3,10.8570886760714,0.600499168896148,1.33452474873639e-05,-0.016613,45.1135948921252,-15.7849181722934,-27.9646207851772,70.2707021991148,-12.7330779273728,-29.3338339526703,73.0782156773023,99.6045361517851,2.06188078541714,-1.28103126260011,63.2682084126331,-13.58255923266,-28.9527127617186,92.2209211743517
